Time(s),F69-1-AnoChasing,F69-2-AnoMutual,F69-3-AnoMutual,F69-4-N-N,F69-5-Body,H25-1-Body/Ano,H25-2-N-N,H25-3-N-N,H25-4-N-N,H25-5-N-N,H28-1-N-N,H28-2-N-N,H28-3-Ano,H28-4-Ano/Body,H28-5-N-N,H82-1-AnoMutual,H82-2-N-N/AnoChasing,H82-3-N-N,H82-4-BodyMutual,H82-5-N-N
-9.79,0.208588892,0.17115692,0.076545822,-0.165013571,0.218707717,0.211176349,-0.097277683,0.125211212,0.081459966*,-0.026310491,0.038262,-0.26705,0.040343,-0.03718,0.033518,-0.19558,0.040794,0.015019,-0.05918,0.065905
-9.78,0.207462892,0.17059792,0.077775822,-0.162507571,0.219556717,0.210901349,-0.099164683,0.123012212,0.082776966*,-0.026383491,0.03741,-0.26719,0.042294,-0.03851,0.032157,-0.19695,0.040817,0.01428,-0.05895,0.06599
-9.77,0.206305892,0.17001192,0.079001822,-0.159983571,0.220356717,0.210600349,-0.101018683,0.120817212,0.084071966*,-0.026466491,0.03657,-0.26731,0.044212,-0.03983,0.030788,-0.1983,0.040835,0.01355,-0.05871,0.06608
-9.76,0.205119892,0.16939992,0.080224822,-0.157443571,0.221108717,0.210276349,-0.102839683,0.118625212,0.085343966*,-0.026560491,0.035744,-0.26741,0.046096,-0.04113,0.029409,-0.19963,0.040848,0.012828,-0.05845,0.066173
-9.75,0.203903892,0.16875992,0.081443822,-0.154885571,0.221811717,0.209927349,-0.104625683,0.116436212,0.086592966*,-0.026665491,0.034931,-0.26749,0.047947,-0.04242,0.028022,-0.20094,0.040856,0.012117,-0.05818,0.066271
-9.74,0.202657892,0.16809292,0.082657822,-0.152312571,0.222467717,0.209552349,-0.106378683,0.114253212,0.087817966*,-0.026781491,0.034131,-0.26756,0.049763,-0.0437,0.026627,-0.20223,0.040859,0.011414,-0.0579,0.066372
-9.73,0.201382892,0.16739992,0.083866822,-0.149723571,0.223074717,0.209153349,-0.108096683,0.112074212,0.089019966*,-0.026907491,0.033345,-0.26761,0.051544,-0.04497,0.025223,-0.20349,0.040856,0.010722,-0.05759,0.066478
-9.72,0.200077892,0.16667992,0.085069822,-0.147119571,0.223632717,0.208728349,-0.109779683,0.109900212,0.090197966*,-0.027045491,0.032572,-0.26764,0.053291,-0.04622,0.023813,-0.20474,0.040849,0.010039,-0.05728,0.066588
-9.71,0.198743892,0.16593292,0.086266822,-0.144501571,0.224143717,0.208277349,-0.111428683,0.107732212,0.091351966*,-0.027193491,0.031812,-0.26765,0.055002,-0.04746,0.022395,-0.20595,0.040837,0.009366,-0.05694,0.066702
-9.7,0.197381892,0.16515992,0.087456822,-0.141870571,0.224605717,0.207801349,-0.113042683,0.105570212,0.092480966*,-0.027351491,0.031065,-0.26765,0.056679,-0.04869,0.020971,-0.20715,0.04082,0.008704,-0.0566,0.06682
-9.69,0.195990892,0.16436092,0.088639822,-0.139226571,0.225019717,0.207299349,-0.114622683,0.103414212,0.093585966*,-0.027521491,0.030332,-0.26763,0.05832,-0.04991,0.01954,-0.20832,0.040798,0.008052,-0.05624,0.066942
-9.68,0.194570892,0.16353492,0.089815822,-0.136569571,0.225386717,0.206770349,-0.116166683,0.101264212,0.094665966*,-0.027701491,0.029612,-0.26759,0.059925,-0.0511,0.018103,-0.20947,0.040771,0.00741,-0.05586,0.067069
-9.67,0.193123892,0.16268392,0.090982822,-0.133900571,0.225704717,0.206215349,-0.117675683,0.099122212,0.095720966*,-0.027892491,0.028905,-0.26753,0.061495,-0.05229,0.016661,-0.21059,0.04074,0.00678,-0.05547,0.0672
-9.66,0.191648892,0.16180592,0.092140822,-0.131221571,0.225974717,0.205633349,-0.119149683,0.096987212,0.096750966*,-0.028094491,0.028211,-0.26745,0.063028,-0.05346,0.015213,-0.21169,0.040704,0.00616,-0.05506,0.067335
-9.65,0.190145892,0.16090292,0.093289822,-0.128530571,0.226197717,0.205025349,-0.120587683,0.094860212,0.097755966*,-0.028307491,0.027531,-0.26736,0.064526,-0.05462,0.013761,-0.21277,0.040663,0.005551,-0.05465,0.067475
-9.64,0.188614892,0.15997392,0.094429822,-0.125830571,0.226372717,0.204389349,-0.121990683,0.092741212,0.098734966*,-0.028531491,0.026863,-0.26725,0.065987,-0.05576,0.012303,-0.21382,0.040617,0.004953,-0.05421,0.067619
-9.63,0.187057892,0.15901892,0.095558822,-0.123120571,0.226500717,0.203726349,-0.123357683,0.090630212,0.099687966*,-0.028765491,0.026209,-0.26712,0.067411,-0.05689,0.010842,-0.21484,0.040568,0.004367,-0.05376,0.067768
-9.62,0.185473892,0.15803892,0.096676822,-0.120402571,0.226581717,0.203036349,-0.124688683,0.088528212,0.100614966*,-0.029010491,0.025568,-0.26697,0.068798,-0.05801,0.009377,-0.21584,0.040513,0.003793,-0.0533,0.067921
-9.61,0.183863892,0.15703392,0.097783822,-0.117676571,0.226614717,0.202319349,-0.125984683,0.086436212,0.101515966*,-0.029266491,0.02494,-0.2668,0.070149,-0.05911,0.007908,-0.21682,0.040454,0.00323,-0.05283,0.068079
-9.6,0.182226892,0.15600492,0.098878822,-0.114942571,0.226600717,0.201574349,-0.127243683,0.084353212,0.102390966*,-0.029532491,0.024325,-0.26662,0.071463,-0.06019,0.006436,-0.21777,0.040391,0.002679,-0.05234,0.068241
-9.59,0.180563892,0.15494992,0.099961822,-0.112201571,0.226539717,0.200801349,-0.128467683,0.082280212,0.103238966*,-0.029810491,0.023723,-0.26642,0.072739,-0.06126,0.004962,-0.2187,0.040323,0.002139,-0.05184,0.068407
-9.58,0.178875892,0.15387092,0.101031822,-0.109454571,0.226431717,0.200001349,-0.129654683,0.080217212,0.104060966*,-0.030098491,0.023133,-0.2662,0.073979,-0.06231,0.003485,-0.21959,0.040251,0.001612,-0.05132,0.068579
-9.57,0.177161892,0.15276792,0.102088822,-0.106701571,0.226277717,0.199172349,-0.130806683,0.078164212,0.104855966*,-0.030396491,0.022557,-0.26596,0.075181,-0.06335,0.002006,-0.22047,0.040174,0.001097,-0.05079,0.068755
-9.56,0.175422892,0.15163992,0.103131822,-0.103943571,0.226077717,0.198315349,-0.131921683,0.076123212,0.105622966*,-0.030705491,0.021994,-0.2657,0.076345,-0.06437,0.000525,-0.22131,0.040093,0.000595,-0.05025,0.068935
-9.55,0.173659892,0.15048892,0.104160822,-0.101181571,0.225830717,0.197430349,-0.133001683,0.074093212,0.106363966*,-0.031024491,0.021443,-0.26543,0.077472,-0.06538,-0.00096,-0.22214,0.040009,0.000105,-0.04969,0.06912
-9.54,0.171871892,0.14931392,0.105174822,-0.098415571,0.225538717,0.196516349,-0.134044683,0.072074212,0.107076966*,-0.031354491,0.020905,-0.26513,0.078562,-0.06637,-0.00244,-0.22293,0.039919,-0.00037,-0.04912,0.06931
-9.53,0.170059892,0.14811592,0.106173822,-0.095646571,0.225199717,0.195574349,-0.135051683,0.070068212,0.107762966*,-0.031695491,0.020379,-0.26482,0.079614,-0.06735,-0.00392,-0.2237,0.039826,-0.00084,-0.04854,0.069505
-9.52,0.168223892,0.14689392,0.107157822,-0.092875571,0.224815717,0.194604349,-0.136022683,0.068073212,0.108420966*,-0.032045491,0.019867,-0.26449,0.080628,-0.06831,-0.00541,-0.22444,0.039729,-0.00129,-0.04795,0.069704
-9.51,0.166364892,0.14564992,0.108124822,-0.090101571,0.224386717,0.193604349,-0.136956683,0.066091212,0.109051966*,-0.032406491,0.019366,-0.26414,0.081604,-0.06925,-0.00689,-0.22515,0.039628,-0.00173,-0.04734,0.069908
-9.5,0.164482892,0.14438292,0.109075822,-0.087326571,0.223912717,0.192576349,-0.137855683,0.064122212,0.109653966*,-0.032778491,0.018879,-0.26377,0.082543,-0.07017,-0.00837,-0.22584,0.039523,-0.00216,-0.04672,0.070117
-9.49,0.162577892,0.14309392,0.110009822,-0.084551571,0.223393717,0.191519349,-0.138717683,0.062167212,0.110228966*,-0.033159491,0.018404,-0.26339,0.083444,-0.07108,-0.00985,-0.2265,0.039414,-0.00257,-0.04609,0.070331
-9.48,0.160649892,0.14178192,0.110925822,-0.081776571,0.222829717,0.190433349,-0.139543683,0.060224212,0.110774966*,-0.033550491,0.017941,-0.26298,0.084307,-0.07197,-0.01133,-0.22713,0.039301,-0.00297,-0.04545,0.070549
-9.47,0.158700892,0.14044892,0.111823822,-0.079001571,0.222221717,0.189319349,-0.140333683,0.058296212,0.111293966*,-0.033952491,0.01749,-0.26256,0.085132,-0.07285,-0.01281,-0.22773,0.039184,-0.00336,-0.0448,0.070773
-9.46,0.156729892,0.13909392,0.112703822,-0.076228571,0.221569717,0.188175349,-0.141087683,0.056381212,0.111783966*,-0.034363491,0.017052,-0.26212,0.08592,-0.07371,-0.01429,-0.22831,0.039064,-0.00373,-0.04413,0.071001
-9.45,0.154736892,0.13771792,0.113565822,-0.073456571,0.220873717,0.187001349,-0.141805683,0.054481212,0.112245966*,-0.034785491,0.016625,-0.26166,0.086669,-0.07455,-0.01576,-0.22886,0.03894,-0.00409,-0.04345,0.071234
-9.44,0.152723892,0.13632092,0.114407822,-0.070687571,0.220134717,0.185799349,-0.142487683,0.052596212,0.112678966*,-0.035216491,0.016211,-0.26118,0.087381,-0.07537,-0.01723,-0.22938,0.038812,-0.00444,-0.04277,0.071471
-9.43,0.150688892,0.13490392,0.115229822,-0.067921571,0.219352717,0.184568349,-0.143134683,0.050726212,0.113083966*,-0.035656491,0.015809,-0.26069,0.088055,-0.07618,-0.0187,-0.22987,0.03868,-0.00477,-0.04207,0.071714
-9.42,0.148634892,0.13346592,0.116031822,-0.065159571,0.218527717,0.183307349,-0.143744683,0.048871212,0.113459966*,-0.036106491,0.015419,-0.26018,0.088692,-0.07697,-0.02017,-0.23034,0.038546,-0.00509,-0.04136,0.071961
-9.41,0.146560892,0.13200792,0.116813822,-0.062401571,0.217659717,0.182017349,-0.144319683,0.047031212,0.113806966*,-0.036566491,0.01504,-0.25964,0.089291,-0.07774,-0.02163,-0.23078,0.038407,-0.00539,-0.04064,0.072214
-9.4,0.144466892,0.13052992,0.117574822,-0.059648571,0.216749717,0.180697349,-0.144858683,0.045208212,0.114124966*,-0.037035491,0.014674,-0.25909,0.089853,-0.07849,-0.02308,-0.23118,0.038266,-0.00569,-0.0399,0.072471
-9.39,0.142353892,0.12903292,0.118314822,-0.056901571,0.215797717,0.179349349,-0.145361683,0.043400212,0.114414966*,-0.037513491,0.014319,-0.25853,0.090377,-0.07923,-0.02453,-0.23156,0.03812,-0.00597,-0.03916,0.072733
-9.38,0.140221892,0.12751692,0.119032822,-0.054160571,0.214804717,0.177971349,-0.145829683,0.041609212,0.114675966*,-0.038001491,0.013976,-0.25794,0.090863,-0.07994,-0.02598,-0.23191,0.037972,-0.00623,-0.03841,0.073
-9.37,0.138071892,0.12598192,0.119727822,-0.051425571,0.213769717,0.176563349,-0.146262683,0.039834212,0.114907966*,-0.038497491,0.013644,-0.25733,0.091313,-0.08064,-0.02742,-0.23224,0.03782,-0.00648,-0.03765,0.073272
